City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
159,Bubaque,11.2833,-15.8333,75.2,71,35,22.77,GW,scattered clouds
160,Alofi,-19.0595,-169.9187,75.09,94,89,3.44,NU,overcast clouds
161,Qurayyat,31.3318,37.3428,72.16,27,100,13.85,SA,overcast clouds
162,Le Mans,48.0,0.2,42.73,65,0,6.91,FR,clear sky
163,Kupang,-10.1667,123.5833,76.3,85,37,0.83,ID,scattered clouds
164,Athabasca,54.7169,-113.2854,44.02,63,69,13.62,CA,broken clouds
165,North Bend,43.4065,-124.2243,59.92,64,75,11.5,US,broken clouds
166,Kaihua,23.3687,104.28,47.64,84,0,4.9,CN,clear sky
167,Imeni Poliny Osipenko,52.4201,136.4853,34.47,85,100,12.33,RU,overcast clouds
168,Eureka,40.8021,-124.1637,59.2,69,100,5.99,US,overcast clouds
169,Tautira,-17.7333,-149.15,81.81,77,20,14.76,PF,light rain
170,Albany,42.6001,-73.9662,41.63,86,100,0.94,US,moderate rain
171,Redmond,47.674,-122.1215,54.36,69,100,5.99,US,overcast clouds
172,Kahului,20.8947,-156.47,78.96,83,20,30.0,US,few clouds
173,Ostrovnoy,68.0531,39.5131,15.84,92,100,6.58,RU,overcast clouds
174,Port Hedland,-20.3167,118.5667,77.05,83,0,6.91,AU,clear sky
175,Bermeo,43.4209,-2.7215,43.48,65,74,7.4,ES,broken clouds
176,Deltona,28.9005,-81.2637,83.01,51,0,5.75,US,clear sky
177,Clyde River,70.4692,-68.5914,12.67,94,50,4.05,CA,scattered clouds
178,San Rafael,-34.6177,-68.3301,65.97,17,12,7.83,AR,few clouds
179,Half Moon Bay,37.4636,-122.4286,79.54,63,0,13.8,US,mist
180,Rio De Jesus,7.9844,-81.1631,93.36,41,91,3.56,PA,overcast clouds
181,Hereford,52.0568,-2.7148,43.63,73,100,6.76,GB,overcast clouds
182,Mlonggo,-6.5333,110.7,75.74,86,100,6.98,ID,overcast clouds
183,Caravelas,-17.7125,-39.2481,80.02,68,0,6.64,BR,clear sky
184,Lasa,46.6166,10.7002,36.36,96,100,1.48,IT,overcast clouds
185,Strezhevoy,60.7333,77.5889,25.0,92,100,12.59,RU,overcast clouds
186,Cabo San Lucas,22.8909,-109.9124,78.62,58,0,11.5,MX,clear sky
187,Baie-Comeau,49.2168,-68.1489,35.42,82,98,6.51,CA,overcast clouds
188,Aras,42.5617,-2.356,36.01,52,75,4.61,ES,broken clouds
189,Kaeo,-35.1,173.7833,66.33,93,18,1.03,NZ,few clouds
190,San Salvador,13.6894,-89.1872,84.06,65,20,12.66,SV,few clouds
191,Khorixas,-20.3667,14.9667,65.35,41,0,9.62,NA,clear sky
192,Lebu,-37.6167,-73.65,56.89,63,0,18.63,CL,clear sky
193,Isla Vista,34.4133,-119.861,69.91,67,100,9.22,US,overcast clouds
194,Nanortalik,60.1432,-45.2371,37.85,80,98,5.39,GL,overcast clouds
195,Kieta,-6.2167,155.6333,79.11,83,99,1.05,PG,overcast clouds
196,Rincon,32.296,-81.2354,76.96,25,0,14.97,US,clear sky
197,Flinders,-34.5833,150.8552,61.38,83,0,1.99,AU,clear sky
198,Hvide Sande,56.0045,8.1294,42.1,84,100,24.11,DK,overcast clouds
199,Saint George,37.1041,-113.5841,74.62,21,0,5.75,US,clear sky
200,Abu Dhabi,24.4667,54.3667,74.97,87,46,1.14,AE,scattered clouds
201,Bengkulu,-3.8004,102.2655,76.93,82,100,4.61,ID,overcast clouds
