City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
86,Lompoc,US,2022-04-03 10:27:17,34.6391,-120.4579,57.13,90,100,3.44
87,Tuatapere,NZ,2022-04-03 10:27:17,-46.1333,167.6833,51.89,89,84,3.42
88,Hithadhoo,MV,2022-04-03 10:27:18,-0.6,73.0833,83.86,69,55,6.58
89,Dikson,RU,2022-04-03 10:27:18,73.5069,80.5464,7.34,92,26,8.5
90,Alausi,EC,2022-04-03 10:27:18,-2.2,-78.8333,47.32,89,52,5.1
91,Kloulklubed,PW,2022-04-03 10:27:19,7.0419,134.2556,79.3,74,95,9.08
92,Cape Town,ZA,2022-04-03 10:24:15,-33.9258,18.4232,77.41,52,0,5.99
93,Castro,BR,2022-04-03 10:28:19,-24.7911,-50.0119,60.22,93,100,10.42
94,Bac Lieu,VN,2022-04-03 10:28:19,9.285,105.7244,83.53,69,100,13.04
95,Coihaique,CL,2022-04-03 10:28:19,-45.5752,-72.0662,43.41,75,40,5.75
96,San Julian,MX,2022-04-03 10:28:20,21.0167,-102.1667,56.88,24,25,2.42
97,Saint Anthony,US,2022-04-03 10:28:20,45.0205,-93.218,31.21,78,0,0.0
98,Saint George,US,2022-04-03 10:28:20,37.1041,-113.5841,61.39,36,0,3.44
99,Lulea,SE,2022-04-03 10:28:21,65.5842,22.1547,28.47,74,20,4.61
100,Cabedelo,BR,2022-04-03 10:28:21,-6.9811,-34.8339,77.67,80,46,10.65
101,Havelock,US,2022-04-03 10:28:22,34.8791,-76.9013,57.15,95,20,0.0
102,Thompson,CA,2022-04-03 10:25:50,55.7435,-97.8558,15.96,73,40,2.3
103,Bethel,US,2022-04-03 10:28:22,41.3712,-73.414,38.48,85,20,0.0
104,Boulder,US,2022-04-03 10:28:22,40.0833,-105.3505,44.76,50,0,8.05
105,Flin Flon,CA,2022-04-03 10:28:22,54.7682,-101.865,23.18,96,100,5.23
106,Karratha,AU,2022-04-03 10:28:23,-20.7377,116.8463,85.44,63,5,13.53
107,Wajid,SO,2022-04-03 10:28:23,3.8093,43.2471,99.43,19,60,16.06
108,Dok Kham Tai,TH,2022-04-03 10:28:23,19.1624,99.9934,89.08,100,6,1.43
109,Sinnamary,GF,2022-04-03 10:28:24,5.3833,-52.95,77.2,88,95,10.98
110,Hobyo,SO,2022-04-03 10:28:24,5.3505,48.5268,86.31,59,21,12.21
111,Lagoa,PT,2022-04-03 10:28:24,39.05,-27.9833,59.18,89,82,26.46
112,Betsiamites,CA,2022-04-03 10:28:25,48.9413,-68.646,27.0,83,3,9.48
113,Ilhabela,BR,2022-04-03 10:28:25,-23.7781,-45.3581,74.23,90,81,7.85
114,Beira,MZ,2022-04-03 10:28:25,-19.8436,34.8389,86.09,74,20,11.5
115,Ponca City,US,2022-04-03 10:28:26,36.707,-97.0856,51.76,61,0,13.8
116,Torbat-E Jam,IR,2022-04-03 10:28:26,35.244,60.6225,79.56,10,5,4.74
117,Zhezkazgan,KZ,2022-04-03 10:28:26,47.8043,67.7144,62.58,31,0,6.71
118,Dalbandin,PK,2022-04-03 10:28:26,28.8947,64.4101,90.03,5,24,3.38
119,Kununurra,AU,2022-04-03 10:28:27,-15.7667,128.7333,80.58,57,31,1.14
120,Puerto Ayora,EC,2022-04-03 10:28:27,-0.7393,-90.3518,77.16,87,15,6.64
121,Laguna,US,2022-04-03 10:28:23,38.421,-121.4238,57.63,67,0,1.01
122,Road Town,VG,2022-04-03 10:27:03,18.4167,-64.6167,75.0,65,3,19.98
123,Esperance,AU,2022-04-03 10:28:27,-33.8667,121.9,73.24,71,92,9.37
124,Tasiilaq,GL,2022-04-03 10:28:28,65.6145,-37.6368,24.96,91,97,3.87
125,Bollnas,SE,2022-04-03 10:28:28,61.3482,16.3946,40.8,49,99,9.28
126,Port Hardy,CA,2022-04-03 10:28:28,50.6996,-127.4199,42.8,93,100,8.05
127,Scottsbluff,US,2022-04-03 10:28:29,41.8666,-103.6672,41.77,59,0,11.99
128,Caapucu,PY,2022-04-03 10:28:29,-26.2167,-57.2,67.78,94,99,6.42
129,Yuncheng,CN,2022-04-03 10:28:29,35.0231,110.9928,68.23,33,25,15.26
130,Hasaki,JP,2022-04-03 10:28:29,35.7333,140.8333,52.2,59,100,14.74
131,Roma,US,2022-04-03 10:26:39,43.2128,-75.4557,36.09,70,100,5.75
