City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
100,Vao,NC,79.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
102,Douglas,US,66.07,overcast clouds,41.3,-96.167,Hilton Garden Inn Omaha West
104,Phultala,BD,78.48,few clouds,22.7,89.5167,কিসমত ফুলতলা
107,Ambilobe,MG,73.2,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
108,Lorengau,PG,80.06,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
110,Guarapari,BR,81.9,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
118,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
121,Guerrero Negro,MX,65.97,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
123,Callaguip,PH,78.82,overcast clouds,18.0714,120.4867,Pangil Beach Resort
124,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
125,San Patricio,US,88.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
126,Tsiroanomandidy,MG,64.53,clear sky,-18.7667,46.0333,Hotel Ravinala
127,Crateus,BR,81.39,overcast clouds,-5.1783,-40.6775,Orient Plaza Hotel
128,Atar,MR,77.85,clear sky,20.5169,-13.0499,Oumou Elghoura
129,Namatanai,PG,78.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
131,Nam Dinh,VN,62.42,broken clouds,20.4167,106.1667,Khách sạn Dệt
132,Saint-Philippe,RE,74.79,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
135,Saint-Paul,RE,75.31,light rain,-21.0096,55.2707,Boucan Canot
136,Madang,PG,75.92,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
137,Son Tay,VN,62.53,clear sky,21.1378,105.505,Khách Sạn Đông Thành
140,Port Alfred,ZA,68.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
141,Dingle,PH,75.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
143,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
145,Bintulu,MY,75.27,scattered clouds,3.1667,113.0333,900 Boutique INN
147,Menongue,AO,63.25,broken clouds,-14.6585,17.691,Ritz Lauca
148,Port-Gentil,GA,81.12,scattered clouds,-0.7193,8.7815,Fengshui Residence
150,La Palma,US,70.29,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
151,Padang,ID,75.87,scattered clouds,-0.9492,100.3543,Mercure Padang
153,Puerto Ayora,EC,85.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
154,Montepuez,MZ,68.76,scattered clouds,-13.1256,38.9997,PembaAparthotel
155,Santiago Del Estero,AR,83.26,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
158,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
159,Bubaque,GW,75.2,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
